customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,streaming_tv,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST-10000,Male,0,Yes,No,53,Month-to-month,No,No,No,No,Yes,Electronic check,26.84,1418.27,0,No
CUST-10001,Female,1,Yes,Yes,63,Month-to-month,DSL,No internet service,Yes,No internet service,No,Credit card,81.64,5141.63,0,No
CUST-10002,Female,0,No,No,10,Month-to-month,Fiber optic,No internet service,No,Yes,No,Mailed check,57.16,503.37,1,Yes
CUST-10003,Male,0,Yes,Yes,17,One year,DSL,Yes,No internet service,Yes,No,Bank transfer,65.06,1123.71,3,No
CUST-10004,Male,0,No,Yes,2,One year,DSL,No internet service,No,No,No,Credit card,54.49,136.67,0,No
CUST-10005,Female,0,No,No,35,One year,Fiber optic,Yes,No internet service,No,Yes,Electronic check,93.62,3243.58,2,No
CUST-10006,Male,0,No,No,36,One year,DSL,Yes,No internet service,No internet service,Yes,Mailed check,69.98,2602.32,0,No
CUST-10007,Female,0,Yes,No,2,Month-to-month,Fiber optic,No internet service,No,No internet service,No,Electronic check,58.57,134.12,1,No
CUST-10008,Male,0,Yes,No,48,Month-to-month,DSL,No,No internet service,Yes,Yes,Mailed check,58.0,2733.76,1,No
CUST-10009,Male,0,Yes,No,0,One year,No,No,No internet service,No internet service,No,Mailed check,62.04,81.04,3,Yes
CUST-10010,Female,0,Yes,No,57,Month-to-month,Fiber optic,No internet service,No,Yes,Yes,Credit card,112.94,6411.41,2,No
CUST-10011,Female,0,Yes,No,51,One year,Fiber optic,No internet service,No internet service,No,No,Mailed check,38.66,1980.6,1,No
CUST-10012,Female,0,No,Yes,59,Month-to-month,Fiber optic,No internet service,No,No internet service,No,Bank transfer,86.66,5088.6,3,Yes
CUST-10013,Female,0,Yes,No,8,Month-to-month,Fiber optic,Yes,No internet service,No internet service,Yes,Electronic check,76.36,642.09,0,Yes
CUST-10014,Female,1,No,Yes,63,Two year,DSL,No internet service,Yes,Yes,No,Mailed check,95.8,6011.32,2,No
CUST-10015,Female,0,Yes,Yes,39,Month-to-month,No,Yes,No,No,Yes,Credit card,77.58,3004.58,1,No
CUST-10016,Female,0,Yes,Yes,63,Month-to-month,DSL,No internet service,Yes,No internet service,Yes,Bank transfer,65.07,4091.41,0,No
CUST-10017,Male,1,No,No,50,One year,DSL,No,Yes,Yes,No,Mailed check,85.4,4244.9,1,No
CUST-10018,Female,0,Yes,No,47,One year,Fiber optic,No,No,No internet service,Yes,Credit card,69.6,3324.79,0,Yes
CUST-10019,Male,0,Yes,No,2,Two year,Fiber optic,Yes,Yes,No,Yes,Credit card,80.1,97.31,0,No
CUST-10020,Female,0,No,No,50,Two year,Fiber optic,No internet service,Yes,Yes,No,Mailed check,93.56,4676.14,1,No
CUST-10021,Male,0,No,No,32,One year,No,Yes,No internet service,Yes,No,Credit card,66.85,2143.67,1,No
CUST-10022,Male,1,No,Yes,61,Month-to-month,Fiber optic,No,Yes,No internet service,Yes,Electronic check,56.51,3440.88,1,Yes
